species,flower_color,flower_shape,pollination_guild,pollination_notes,mating_system,self_incompatibility,evidence_type,confidence
Cynometra iripa Kostel.,white_green,actinomorphic,bees,small coastal legume tree with insect pollinated flowers,obligate_outcrossing,likely_SI,inference,low
Cyperus corymbosus Rottb.,green,actinomorphic,wind,small sedge spikelets predominantly wind pollinated,mainly_selfing,likely_SC,inference,low
Cyperus cristatus (Kunth) Mattf. & Kük.,green,actinomorphic,wind,wind pollinated sedge with inconspicuous flowers,mainly_selfing,likely_SC,inference,low
Cyphostemma setosum (Roxb.) Alston,greenish,actinomorphic,bees,small vine in Vitaceae with insect pollinated flowers visited by bees and flies,mixed_mating,likely_SC,inference,low
Cyphostemma trilobata (Lam.) M.R.Almeida,greenish,actinomorphic,bees,Vitaceae climber with small nectar bearing flowers mainly bee pollinated,mixed_mating,likely_SC,inference,low
Cyphostigma pulchellum (Thwaites) Benth.,yellow,actinomorphic,bees,ginger relative with tubular yellow flowers likely visited by bees,unknown,unknown,inference,low
Dalbergia melanoxylon Guill. & Perr.,white,actinomorphic,bees,small white papilionoid flowers insect pollinated mainly by bees,obligate_outcrossing,likely_SI,inference,low
Datura L.,white_purple,funnel,moths,large night opening trumpet flowers mainly hawkmoth pollinated but also visited by bees,mixed_mating,SC,inference,medium
Delonix elata (L.) Gamble,orange_yellow,zygomorphic,bees,showy caesalpinioid legume with large flowers mainly bee and bird visitors,obligate_outcrossing,likely_SI,inference,low
Dendrobium heterocarpum Wall. ex Lindl.,white_yellow,zygomorphic,bees,epiphytic dendrobium orchid with bee pollination,mixed_mating,likely_SC,inference,low
Dendrobium maccarthiae Thwaites,pink,zygomorphic,bees,showy pink dendrobium orchid visited mainly by bees,mixed_mating,likely_SC,inference,low
Desmodium heterophyllum (Willd.) DC.,pink_purple,papilionoid,bees,small papilionoid legume flowers bee pollinated and often self compatible,mixed_mating,likely_SC,inference,medium
Dialium ovoideum Thwaites,white,actinomorphic,bees,forest tree with small insect pollinated flowers visited by bees,obligate_outcrossing,likely_SI,inference,low
Dichapetalum gelonioides (Roxb.) Engl.,white_green,actinomorphic,bees,woody climber with small greenish flowers likely bee pollinated,obligate_outcrossing,likely_SI,inference,low
Dictyospermum ovalifolium Wight,white,actinomorphic,bees,Commelinaceae herb with small white flowers likely insect pollinated,mixed_mating,likely_SC,inference,low
Digera muricata (L.) Mart.,pink,actinomorphic,bees,amaranthaceous herb with small pink flowers visited by bees and flies,mixed_mating,likely_SC,inference,low
Digitaria sanguinalis subsp. pectiniformis Henrard,green,actinomorphic,wind,grass with reduced florets adapted to wind pollination,mainly_selfing,likely_SC,inference,medium
Diospyros affinis Thwaites,white,actinomorphic,bees,small dioecious Ebenaceae tree with insect pollinated flowers,obligate_outcrossing,likely_SI,inference,low
Diospyros insignis Thwaites,white,actinomorphic,bees,dioecious tree ebony relative insect pollinated,obligate_outcrossing,likely_SI,inference,low
Diospyros mollis Griff.,white_green,actinomorphic,bees,small scented flowers mainly bee pollinated in dioecious tree,obligate_outcrossing,likely_SI,inference,low
Diospyros ovalifolia Wight,white,actinomorphic,bees,Ebenaceae tree with small insect pollinated flowers,obligate_outcrossing,likely_SI,inference,low
Diospyros walkeri (Wight) Gürke,white,actinomorphic,bees,Sri Lankan ebony relative with insect pollinated flowers,obligate_outcrossing,likely_SI,inference,low
Disporum cantoniense var. cantoniense,greenish_yellow,campanulate,bees,shade herb with pendent bell flowers likely bee pollinated,mixed_mating,unknown,inference,low
Doodia caudata (Cav.) R.Br.,none,none,unknown,fern without flowers reproduction by spores,unknown,unknown,inference,high
Doona affinis Thwaites,white,actinomorphic,bees,dipterocarp tree with small white flowers mainly bee pollinated,obligate_outcrossing,likely_SI,inference,low
Doona macrophylla Thwaites,white,actinomorphic,bees,evergreen dipterocarp tree insect pollinated by bees,obligate_outcrossing,likely_SI,inference,low
Doona nervosa Thwaites,white,actinomorphic,bees,canopy dipterocarp tree with bee pollinated flowers,obligate_outcrossing,likely_SI,inference,low
Doona venulosa Thwaites,white,actinomorphic,bees,dipterocarp tree with small insect pollinated flowers,obligate_outcrossing,likely_SI,inference,low
Drosera finlaysoniana Wall. ex Arn.,white_pink,actinomorphic,flies,small sundew flowers mainly visited by small flies and bees,mixed_mating,likely_SC,inference,low
Durio Adans.,white_cream,actinomorphic,mixed,large nocturnal flowers mainly bat pollinated but also visited by other animals,mixed_mating,unknown,inference,low
Dyschoriste nagchana (Nees) Bennet,purple,zygomorphic,bees,acanthaceous herb with tubular purple flowers likely bee pollinated,mixed_mating,likely_SC,inference,low
Ehretia P.Browne,white,actinomorphic,bees,woody Boraginaceae with small white bee pollinated flowers,mixed_mating,likely_SC,inference,low
Eichhornia Kunth,lilac_blue,zygomorphic,bees,aquatic water hyacinth with showy bee pollinated flowers,mixed_mating,SC,inference,medium
Elaeocarpus subvillosus Arn.,white,actinomorphic,bees,Elaeocarpus tree with fringed white flowers mainly bee pollinated,obligate_outcrossing,likely_SI,inference,low
Eleusine coracana (L.) Gaertn.,green,actinomorphic,wind,cereal grass finger millet wind pollinated with selfing,mainly_selfing,likely_SC,inference,high
Embelia tsjeriam-cottam (Roem. & Schult.) A.DC.,white,actinomorphic,bees,small white flowers of woody climber insect pollinated,obligate_outcrossing,likely_SI,inference,low
Emilia exserta Fosberg,purple,actinomorphic,bees,small composite heads visited by bees and flies,mixed_mating,likely_SC,inference,low
Emilia speeseae Fosberg,purple,actinomorphic,bees,Asteraceae herb insect pollinated mainly by bees,mixed_mating,likely_SC,inference,low
Episcia reptans Mart.,red_orange,zygomorphic,bees,gesneriad with tubular brightly colored flowers mainly bee and hummingbird like visitors,mixed_mating,SC,inference,low
Epithema carnosum Benth.,blue_white,zygomorphic,bees,small gesneriad with zygomorphic flowers pollinated by small bees,mixed_mating,likely_SC,inference,low
Eria bicolor Lindl.,white_yellow,zygomorphic,bees,epiphytic orchid with bee pollination,mixed_mating,likely_SC,inference,low
Eria lindleyi Thwaites,white,zygomorphic,bees,small dendrobioid orchid likely bee pollinated,mixed_mating,likely_SC,inference,low
Eria tricolor Thwaites,white_pink,zygomorphic,bees,orchid with colored lip visited mainly by bees,mixed_mating,likely_SC,inference,low
Eriocaulon catopsioides S.M.Phillips,white,actinomorphic,wind,tiny head like flowers of marsh herb often wind or small insect pollinated,mainly_selfing,unknown,inference,low
Erythroxylum monogynum Roxb.,white,actinomorphic,bees,small white flowers with nectar mainly bee pollinated,mixed_mating,likely_SC,inference,low
Erythroxylum novogranatense (Morris) Hieron.,white,actinomorphic,bees,coca relative with small insect pollinated flowers,mixed_mating,likely_SC,inference,low
Eugenia malangensis (O.Hoffm.) Nied.,white,actinomorphic,bees,Myrtaceae tree with white brush flowers mainly bee pollinated,obligate_outcrossing,likely_SI,inference,low
Eulophia epidendraea (J.Koenig ex Retz.) C.E.C.Fisch.,green_purple,zygomorphic,bees,terrestrial orchid with bee pollination,mixed_mating,likely_SC,inference,low
Euonymus walkeri Wight,greenish,actinomorphic,bees,small greenish euonymus flowers insect pollinated,obligate_outcrossing,likely_SI,inference,low
Euphorbia geroldii Rauh,red,actinomorphic,bees,ornamental spurges with bright bracts insect pollinated by bees and flies,mixed_mating,likely_SC,inference,low
Euphorbia rothiana Spreng.,green_red,actinomorphic,bees,cyathia with colored bracts attracting bees and flies,mixed_mating,likely_SC,inference,low
Exacum macranthum Arn. ex Griseb.,purple,actinomorphic,bees,gentian with showy purple flowers mainly bee pollinated,mixed_mating,likely_SC,inference,low
Exacum pedunculatum L.,blue_purple,actinomorphic,bees,small blue gentian flowers visited by bees,mixed_mating,likely_SC,inference,low
Ficus trimenii King ex Trimen,green,actinomorphic,flies,fig species pollinated by obligate agaonid fig wasps treated here as flies guild,obligate_outcrossing,SI,inference,medium
Gaertnera ternifolia Thwaites,white,actinomorphic,bees,Rubiaceae shrub with tubular white flowers insect pollinated,obligate_outcrossing,likely_SI,inference,low
Garcinia echinocarpa Thwaites,yellow,actinomorphic,bees,dioecious Garcinia tree with small insect pollinated flowers,obligate_outcrossing,likely_SI,inference,low
Garcinia morella (Gaertn.) Desr.,yellow,actinomorphic,bees,small yellow resinous flowers mainly bee pollinated,obligate_outcrossing,likely_SI,inference,low
Garcinia zeylanica Roxb.,yellow,actinomorphic,bees,Sri Lankan Garcinia with insect pollinated flowers,obligate_outcrossing,likely_SI,inference,low
Gardenia coronaria Banks,white,tubular,moths,fragrant white tubular flowers likely moth pollinated,mixed_mating,likely_SC,inference,low
Gastrochilus flabelliformis (Blatt. & McCann) C.J.Saldanha,yellow_spotted,zygomorphic,bees,small epiphytic orchid with bee pollination,mixed_mating,likely_SC,inference,low
Glenniea unijuga (Thwaites) Hook.fil.,white,actinomorphic,bees,Sapindaceae tree with small insect pollinated flowers,obligate_outcrossing,likely_SI,inference,low
Gliricidia Kunth,pink_white,papilionoid,bees,ornamental nitrogen fixing tree with bee pollinated papilionoid flowers,mixed_mating,likely_SC,inference,medium
Glyptopetalum zeylanicum Thwaites,greenish,actinomorphic,bees,small greenish flowers likely pollinated by bees and flies,obligate_outcrossing,likely_SI,inference,low
Gomphrena L.,pink_white,actinomorphic,bees,globe amaranth type heads with bee and butterfly visitors,mixed_mating,likely_SC,inference,medium
Goniothalamus gardneri Hook.f. & Thomson,yellow,actinomorphic,bees,Annonaceae tree with beetle and bee pollinated bowl shaped flowers,obligate_outcrossing,likely_SI,inference,low
Goniothalamus salicinus Hook.f. & Thomson,yellow,actinomorphic,bees,Annonaceae species with thermogenic beetle pollinated flowers approximated as bees guild,obligate_outcrossing,likely_SI,inference,low
Goodyera procera (Ker Gawl.) Hook.,white,zygomorphic,bees,spiral orchid with small white flowers pollinated by bees,mixed_mating,likely_SC,inference,low
"Gordonia kroppenstedtii Kim et al., 2009",none,none,unknown,bacterium not a flowering plant traits not applicable,unknown,unknown,inference,high
Gouania microcarpa DC.,white_green,actinomorphic,bees,Rhamnaceae climber with small nectar flowers insect pollinated,mixed_mating,likely_SC,inference,low
Grewia helicterifolia Wall.,yellow,actinomorphic,bees,mallows relative with star shaped yellow flowers bee pollinated,mixed_mating,likely_SC,inference,low
Grewia rothii DC.,yellow,actinomorphic,bees,shrub with yellow disk flowers mainly bee pollinated,mixed_mating,likely_SC,inference,low
Grona Lour.,purple_yellow,papilionoid,bees,Desmodium like legume with papilionoid flowers bee pollinated,mixed_mating,likely_SC,inference,low
Grona heterophylla (Willd.) H.Ohashi & K.Ohashi,purple,papilionoid,bees,legume herb with papilionoid flowers pollinated by bees,mixed_mating,likely_SC,inference,low
Grona jucunda (Thwaites) H.Ohashi & K.Ohashi,purple,papilionoid,bees,small Desmodium relative with bee pollinated flowers,mixed_mating,likely_SC,inference,low
Gymnostachyum ceylanicum Arn. & Nees,blue_purple,zygomorphic,bees,Acanthaceae herb with tubular flowers mainly visited by bees,mixed_mating,likely_SC,inference,low
Habenaria acuminata (Thwaites) Trimen,green_white,spurred,moths,long spurred flowers typical of moth pollination,obligate_outcrossing,likely_SI,inference,low
Habenaria dichopetala Thwaites,green_white,spurred,moths,night scented spurred flowers mainly moth pollinated,obligate_outcrossing,likely_SI,inference,low
Hanguana malayana (Jack) Merr.,green,actinomorphic,wind,marsh monocot with inconspicuous flowers likely wind or unspecialized insect pollination,unknown,unknown,inference,low
Harpullia arborea (Blanco) Radlk.,white,actinomorphic,bees,Sapindaceae tree with nectar flowers visited by bees,obligate_outcrossing,likely_SI,inference,low
Harpullia pendula Planch. ex F.Muell.,white,actinomorphic,bees,Harpullia tree with small insect pollinated flowers mainly bees,obligate_outcrossing,likely_SI,inference,low
Hedychium J.Koenig,white_orange,zygomorphic,moths,ginger lilies with fragrant tubular flowers often moth pollinated,mixed_mating,unknown,inference,low
Hedyotis fruticosa L.,white,actinomorphic,bees,Rubiaceae shrub with small white flowers insect pollinated,mixed_mating,likely_SC,inference,low
Heliconia mariae Hook.f.,red_yellow,zygomorphic,birds,large colorful bracts with bird pollinated tubular flowers,obligate_outcrossing,likely_SI,inference,medium
Heliconia stricta Huber,red_orange,zygomorphic,birds,ornamental heliconia with bird pollinated flowers,obligate_outcrossing,likely_SI,inference,medium
Helicteres angustifolia L.,red_orange,actinomorphic,bees,twisted petals of malvaceous shrub mainly bee pollinated,mixed_mating,likely_SC,inference,low
Hemionitis L.,none,none,unknown,fern genus without flowers reproduction by spores,unknown,unknown,inference,high
Henckelia Spreng.,purple_white,zygomorphic,bees,gesneriad genus with zygomorphic bee pollinated flowers,mixed_mating,likely_SC,inference,low
Henckelia walkerae (Gardner) D.J.Middleton & Mich.Möller,purple,zygomorphic,bees,Sri Lankan Henckelia with tubular bee pollinated flowers,mixed_mating,likely_SC,inference,low
Henckelia wijesundarae Ranasinghe & Mich.Möller,purple,zygomorphic,bees,narrow range gesneriad with bee pollinated flowers,mixed_mating,likely_SC,inference,low
Hibiscus panduriformis Burm.fil.,yellow,actinomorphic,bees,Malvaceae shrub with showy yellow flowers bee pollinated,mixed_mating,likely_SC,inference,low
Hopea brevipetiolaris (Thwaites) P.S.Ashton,white,actinomorphic,bees,dipterocarp canopy tree bee pollinated,obligate_outcrossing,likely_SI,inference,low
Hopea jucunda subsp. modesta DC.,white,actinomorphic,bees,Hopea tree with small insect pollinated flowers,obligate_outcrossing,likely_SI,inference,low
Hoppea dichotoma Hayne ex Willd.,white_pink,actinomorphic,bees,small gentian herb with insect pollinated flowers,mixed_mating,likely_SC,inference,low
Hortonia angustifolia (Thwaites) Trimen,yellow,actinomorphic,bees,endemic tree with small yellow insect pollinated flowers,obligate_outcrossing,likely_SI,inference,low
Hortonia ovalifolia Wight,yellow,actinomorphic,bees,Sri Lankan Hortonia tree with insect pollinated flowers,obligate_outcrossing,likely_SI,inference,low
Hugonia ferruginea Wight & Arn.,yellow,actinomorphic,bees,Linaceae shrub with yellow flowers mainly bee-pollinated,mixed_mating,likely_SC,inference,low
Hybanthus enneaspermus (L.) F.Muell.,purple,zygomorphic,bees,Violaceae herb with small violet flowers visited by bees,mixed_mating,likely_SC,inference,low
Hydrocotyle hirta R.Br. ex A.Rich.,white_green,actinomorphic,flies,Apiaceae-like umbels attracting flies and small bees,mixed_mating,likely_SC,inference,low
